index,importance
symbol_id,65
time_id,610
feature_00,50
feature_01,172
feature_02,38
feature_03,26
feature_04,168
feature_05,166
feature_06,195
feature_07,306
feature_08,314
feature_09,71
feature_10,48
feature_11,61
feature_12,46
feature_13,21
feature_14,47
feature_15,127
feature_16,38
feature_17,104
feature_18,13
feature_19,27
feature_20,205
feature_21,159
feature_22,150
feature_23,170
feature_24,265
feature_25,138
feature_26,133
feature_27,94
feature_28,89
feature_29,119
feature_30,176
feature_31,138
feature_32,44
feature_33,112
feature_34,67
feature_35,45
feature_36,175
feature_37,103
feature_38,218
feature_39,44
feature_40,25
feature_41,14
feature_42,59
feature_43,24
feature_44,31
feature_45,40
feature_46,24
feature_47,84
feature_48,78
feature_49,45
feature_50,56
feature_51,37
feature_52,83
feature_53,48
feature_54,23
feature_55,51
feature_56,96
feature_57,33
feature_58,179
feature_59,160
feature_60,125
feature_61,292
feature_62,52
feature_63,4
feature_64,40
feature_65,40
feature_66,45
feature_67,39
feature_68,76
feature_69,76
feature_70,59
feature_71,10
feature_72,78
feature_73,53
feature_74,77
feature_75,62
feature_76,64
feature_77,62
feature_78,79
responder_0_lag_1,130
responder_1_lag_1,101
responder_2_lag_1,88
responder_3_lag_1,115
responder_4_lag_1,98
responder_5_lag_1,114
responder_6_lag_1,94
responder_7_lag_1,76
responder_8_lag_1,94
